ID_EMERGENCIA,ID_MUNICIPIO,ID_COMUNA,ID_BARRIO,ID_TIPO_EMERGENCIA,CIUDAD,LATITUD,LONGITUD
1534,1,11,157,39,Bucaramanga,7.0884703,-73.1081091
1730,1,11,169,11,Bucaramanga,7.0884703,-73.1081091
2067,1,9,140,37,Bucaramanga,7.0847793,-73.1154053
2220,1,11,170,26,Bucaramanga,7.0884703,-73.1081091
2369,1,10,150,39,Bucaramanga,7.0884703,-73.1081091
2951,1,10,150,1,Bucaramanga,7.0831157,-73.1135425
3501,1,10,150,39,Bucaramanga,7.0884833,-73.1080813
3502,1,10,150,39,Bucaramanga,7.0884833,-73.1080813
5178,1,10,150,3,Bucaramanga,7.0884703,-73.1081091
8412,1,9,142,39,Bucaramanga,7.0884703,-73.1081091
9306,1,10,150,39,Bucaramanga,7.0847793,-73.1154053
11968,1,10,150,5,Bucaramanga,7.0884703,-73.1081091
